#     Non-channel data
  RctLsb  0.50000
    Gain  0.17700
#             eta             phi             dep             det   Rcalib  LutGranularity  OutputLutThreshold      DetId
              -10              12               1              HB  1.13472               1                   1   4310280C
              -11              12               1              HB  1.13421               1                   1   43102C0C
              -12              12               1              HB  1.13407               1                   1   4310300C
              -13              12               1              HB  1.13332               1                   1   4310340C
              -14              12               1              HB  1.13091               1                   1   4310380C
              -15              12               1              HB  1.13090               1                   1   43103C0C
              -15              12               2              HB  1.13090               1                   1   43203C0C
              -16              12               1              HB  1.13975               1                   1   4310400C
              -16              12               2              HB  1.13975               1                   1   4320400C
               -1              13               1              HB  1.14158               1                   1   4310040D
               -2              13               1              HB  1.14108               1                   1   4310080D
               -3              13               1              HB  1.14022               1                   1   43100C0D
               -4              13               1              HB  1.13989               1                   1   4310100D
               -5              13               1              HB  1.13868               1                   1   4310140D
               -6              13               1              HB  1.13826               1                   1   4310180D
               -7              13               1              HB  1.13653               1                   1   43101C0D
               -8              13               1              HB  1.13632               1                   1   4310200D
               -9              13               1              HB  1.13617               1                   1   4310240D
              -10              13               1              HB  1.13472               1                   1   4310280D
              -11              13               1              HB  1.13421               1                   1   43102C0D
              -12              13               1              HB  1.13407               1                   1   4310300D
              -13              13               1              HB  1.13332               1                   1   4310340D
              -14              13               1              HB  1.13091               1                   1   4310380D
              -15              13               1              HB  1.13090               1                   1   43103C0D
              -15              13               2              HB  1.13090               1                   1   43203C0D
              -16              13               1              HB  1.13975               1                   1   4310400D
              -16              13               2              HB  1.13975               1                   1   4320400D
               -1              14               1              HB  1.14158               1                   1   4310040E
               -2              14               1              HB  1.14108               1                   1   4310080E
               -3              14               1              HB  1.14022               1                   1   43100C0E
               -4              14               1              HB  1.13989               1                   1   4310100E
               -5              14               1              HB  1.13868               1                   1   4310140E
               -6              14               1              HB  1.13826               1                   1   4310180E
               -7              14               1              HB  1.13653               1                   1   43101C0E
               -8              14               1              HB  1.13632               1                   1   4310200E
               -9              14               1              HB  1.13617               1                   1   4310240E
              -10              14               1              HB  1.13472               1                   1   4310280E
              -11              14               1              HB  1.13421               1                   1   43102C0E
              -12              14               1              HB  1.13407               1                   1   4310300E
              -13              14               1              HB  1.13332               1                   1   4310340E
              -14              14               1              HB  1.13091               1                   1   4310380E
              -15              14               1              HB  1.13090               1                   1   43103C0E
              -15              14               2              HB  1.13090               1                   1   43203C0E
              -16              14               1              HB  1.13975               1                   1   4310400E
              -16              14               2              HB  1.13975               1                   1   4320400E
               -1              15               1              HB  1.14158               1                   1   4310040F
               -2              15               1              HB  1.14108               1                   1   4310080F
               -3              15               1              HB  1.14022               1                   1   43100C0F
               -4              15               1              HB  1.13989               1                   1   4310100F
               -5              15               1              HB  1.13868               1                   1   4310140F
               -6              15               1              HB  1.13826               1                   1   4310180F
               -7              15               1              HB  1.13653               1                   1   43101C0F
               -8              15               1              HB  1.13632               1                   1   4310200F
               -9              15               1              HB  1.13617               1                   1   4310240F
              -10              15               1              HB  1.13472               1                   1   4310280F
              -11              15               1              HB  1.13421               1                   1   43102C0F
              -12              15               1              HB  1.13407               1                   1   4310300F
              -13              15               1              HB  1.13332               1                   1   4310340F
              -14              15               1              HB  1.13091               1                   1   4310380F
              -15              15               1              HB  1.13090               1                   1   43103C0F
              -15              15               2              HB  1.13090               1                   1   43203C0F
              -16              15               1              HB  1.13975               1                   1   4310400F
              -16              15               2              HB  1.13975               1                   1   4320400F
               -1              16               1              HB  1.14158               1                   1   43100410
               -2              16               1              HB  1.14108               1                   1   43100810
               -3              16               1              HB  1.14022               1                   1   43100C10
               -4              16               1              HB  1.13989               1                   1   43101010
               -5              16               1              HB  1.13868               1                   1   43101410
               -6              16               1              HB  1.13826               1                   1   43101810
               -7              16               1              HB  1.13653               1                   1   43101C10
               -8              16               1              HB  1.13632               1                   1   43102010
               -9              16               1              HB  1.13617               1                   1   43102410
              -10              16               1              HB  1.13472               1                   1   43102810
              -11              16               1              HB  1.13421               1                   1   43102C10
              -12              16               1              HB  1.13407               1                   1   43103010
              -13              16               1              HB  1.13332               1                   1   43103410
              -14              16               1              HB  1.13091               1                   1   43103810
              -15              16               1              HB  1.13090               1                   1   43103C10
              -15              16               2              HB  1.13090               1                   1   43203C10
              -16              16               1              HB  1.13975               1                   1   43104010
              -16              16               2              HB  1.13975               1                   1   43204010
               -1              17               1              HB  1.14158               1                   1   43100411
               -2              17               1              HB  1.14108               1                   1   43100811
               -3              17               1              HB  1.14022               1                   1   43100C11
               -4              17               1              HB  1.13989               1                   1   43101011
               -5              17               1              HB  1.13868               1                   1   43101411
               -6              17               1              HB  1.13826               1                   1   43101811
